,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1562,680428657810496541,2022-09-28,33386046,f,Unincorporated Areas,37.08151,-122.09315,Entire home/apt,False,False,$225.00,1,2022-08-28,4.0,5.0,2.0,5.0,5.0,4.0,4.0,0.94
1563,680532366698763136,2022-09-28,47316700,t,City of Capitola,36.97182566026223,-121.95015405852372,Entire home/apt,False,False,$865.00,3,2022-09-19,5.0,5.0,5.0,5.0,5.0,4.67,5.0,3.0
1564,682609773168745927,2022-09-28,29898175,f,Unincorporated Areas,36.85852,-121.81404,Entire home/apt,False,False,"$1,074.00",0,,,,,,,,,
1565,682752251937011672,2022-09-28,472429707,f,Unincorporated Areas,36.99817,-121.75755,Entire home/apt,False,False,$280.00,8,2022-09-25,4.75,4.88,4.75,4.88,5.0,5.0,4.88,5.0
1566,684092519698899323,2022-09-28,51003705,f,Unincorporated Areas,36.96972732591544,-121.90463511552394,Entire home/apt,False,False,$315.00,3,2022-09-11,4.67,5.0,4.67,5.0,5.0,4.67,4.67,2.31
1567,685670933505691842,2022-09-28,50309454,f,City of Scotts Valley,37.04630090004556,-122.02539760147384,Entire home/apt,True,False,$140.00,0,,,,,,,,,
1568,686821911202675104,2022-09-28,247216,f,City of Santa Cruz,36.97040033241098,-122.026023449318,Entire home/apt,False,False,$264.00,0,,,,,,,,,
1569,686892637000775029,2022-09-28,20916556,t,Unincorporated Areas,36.991751437016944,-121.86222683679472,Entire home/apt,False,False,$297.00,2,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.62
1570,687070807151555907,2022-09-28,2920729,f,City of Santa Cruz,36.96705244686197,-121.99987479399022,Entire home/apt,False,False,$182.00,0,,,,,,,,,
1571,687165627885538686,2022-09-28,499160,t,Unincorporated Areas,36.99358619331938,-121.95521480348486,Entire home/apt,False,False,$222.00,2,2022-09-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
1572,688523853178774723,2022-09-28,32008177,f,Unincorporated Areas,37.09035,-122.0434,Private room,False,False,$79.00,0,,,,,,,,,
1573,689096385128245053,2022-09-28,18333870,f,Unincorporated Areas,36.978702392684696,-121.90047048755822,Entire home/apt,False,False,$121.00,3,2022-09-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
1574,689264356804356059,2022-09-28,414593775,f,Unincorporated Areas,37.1214,-122.11701,Entire home/apt,False,False,$136.00,6,2022-09-25,4.5,4.83,4.83,5.0,5.0,4.17,4.83,4.62
