,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
81,1651294,2022-09-19,8085078,t,Unincorporated Areas,37.41627,-122.18826,Private room,False,False,$122.00,144,2022-09-10,4.97,4.93,4.9,4.97,4.99,4.82,4.89,1.33
82,1672827,2022-09-19,703440,t,Menlo Park,37.458008,-122.154358,Entire home/apt,False,False,$143.00,255,2022-09-17,4.92,4.9,4.83,4.96,4.96,4.82,4.9,2.33
83,1673486,2022-09-19,8858695,f,Belmont,37.51691,-122.31836,Private room,False,False,$59.00,4,2014-12-04,4.67,5.0,5.0,5.0,5.0,4.67,4.5,0.04
84,1691675,2022-09-19,8936651,f,Unincorporated Areas,37.43802,-122.15397,Entire home/apt,True,True,$325.00,78,2022-08-30,4.86,4.97,4.81,4.88,4.92,4.76,4.88,0.71
85,1696483,2022-09-19,8959433,t,San Bruno,37.62107,-122.43252,Entire home/apt,False,False,$332.00,162,2022-09-01,4.94,4.92,4.93,4.98,4.97,4.82,4.89,2.2
86,1700196,2022-09-19,6458540,t,Daly City,37.70084,-122.48889,Entire home/apt,False,False,$138.00,358,2022-09-05,4.9,4.81,4.84,4.93,4.92,4.71,4.8,3.28
87,1703959,2022-09-19,16108522,f,Unincorporated Areas,37.2833,-122.18908,Entire home/apt,False,False,$339.00,22,2019-04-28,4.9,4.95,4.95,5.0,4.95,4.86,4.9,0.22
88,1738914,2022-09-19,9156893,f,Unincorporated Areas,37.44886,-122.16697,Entire home/apt,False,False,$450.00,9,2022-08-19,5.0,5.0,4.63,5.0,5.0,4.88,5.0,0.1
89,1778252,2022-09-19,168728,f,East Palo Alto,37.46199,-122.13616,Private room,False,False,$100.00,23,2022-06-25,4.96,4.52,5.0,4.91,4.96,4.74,5.0,0.24
90,1857408,2022-09-19,202111,f,Burlingame,37.5867,-122.38762,Private room,False,False,$225.00,0,,,,,,,,,
91,1872094,2022-09-19,6048083,f,Menlo Park,37.46325,-122.15911,Entire home/apt,False,False,$400.00,17,2022-02-15,4.94,4.76,4.65,4.88,4.88,4.65,4.65,0.16
92,1925206,2022-09-19,9971829,t,Daly City,37.72253,-122.40874,Private room,False,False,$136.00,212,2022-09-17,4.91,4.75,4.72,4.97,4.94,4.75,4.84,2.93
93,1959776,2022-09-19,9473789,f,Unincorporated Areas,37.44836,-122.15565,Entire home/apt,False,False,$125.00,49,2022-05-29,4.59,4.98,4.37,4.69,4.51,4.55,4.45,0.55
94,2032240,2022-09-19,10433126,f,Daly City,37.70129,-122.46084,Entire home/apt,False,False,$60.00,308,2021-10-01,4.88,4.72,4.93,4.9,4.86,4.79,4.81,2.88
95,2057722,2022-09-19,10433126,f,Daly City,37.70126,-122.462,Private room,False,False,$45.00,170,2022-03-24,4.93,4.79,4.91,4.96,4.92,4.8,4.83,2.13
96,2089441,2022-09-19,10665012,f,Woodside,37.439411,-122.238609,Entire home/apt,False,False,$129.00,213,2022-09-08,4.75,4.9,4.69,4.94,4.96,4.72,4.72,2.17
97,2093695,2022-09-19,26952,f,Unincorporated Areas,37.72437,-122.47036,Private room,False,False,$65.00,53,2022-08-23,4.83,4.54,4.75,4.79,4.73,4.58,4.62,0.5
98,2111028,2022-09-19,1156757,t,Unincorporated Areas,37.44176,-122.15485,Entire home/apt,False,False,$433.00,14,2022-07-26,4.77,5.0,4.69,4.69,4.85,4.38,4.64,0.14
99,2139562,2022-09-19,8037793,f,Daly City,37.72816,-122.45817,Private room,False,False,$199.00,151,2022-09-05,4.78,4.76,4.46,4.95,4.9,4.56,4.61,1.52
100,2142354,2022-09-19,49735,t,Unincorporated Areas,37.43063,-122.19832,Entire home/apt,False,False,$269.00,93,2022-08-18,4.95,4.89,4.9,4.96,4.99,4.86,4.88,0.88
101,2234256,2022-09-19,11406448,f,Brisbane,37.71093,-122.38713,Entire home/apt,False,False,$130.00,13,2017-05-31,5.0,4.75,4.69,4.0,4.5,4.75,4.38,0.12
102,2278262,2022-09-19,11633910,t,Unincorporated Areas,37.46198,-122.26566,Entire home/apt,False,False,$111.00,472,2022-06-30,4.93,4.87,4.96,4.97,4.95,4.91,4.9,4.53
103,2285366,2022-09-19,11674990,t,Unincorporated Areas,37.46967,-122.16239,Private room,False,False,$140.00,232,2022-09-10,4.99,4.96,5.0,5.0,5.0,4.97,4.98,2.22
104,2299551,2022-09-19,10789323,f,Atherton,37.46489,-122.20498,Entire home/apt,False,False,$119.00,25,2020-08-06,4.67,4.71,4.75,4.75,4.42,4.63,4.58,0.24
105,2304383,2022-09-19,11768748,f,Burlingame,37.57758,-122.347,Private room,False,False,$65.00,4,2022-01-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1
106,2320887,2022-09-19,11853903,t,East Palo Alto,37.46504,-122.13793,Entire home/apt,False,False,$312.00,488,2022-08-30,4.98,4.69,4.91,4.98,4.99,4.9,4.95,4.67
107,2381210,2022-09-19,11853903,t,East Palo Alto,37.46444,-122.13819,Entire home/apt,False,False,$324.00,334,2022-09-15,4.96,4.67,4.93,4.94,4.95,4.88,4.95,3.27
108,2387068,2022-09-19,12192591,f,Daly City,37.72563,-122.46025,Private room,False,False,$86.00,82,2019-09-24,4.91,4.82,4.91,4.85,4.93,4.74,4.85,0.79
109,2431952,2022-09-19,12430489,t,Half Moon Bay,37.45797,-122.43596,Entire home/apt,True,False,$229.00,139,2022-07-10,4.96,4.94,4.84,4.98,4.98,4.69,4.9,1.33
110,2432104,2022-09-19,26952,f,Daly City,37.72813,-122.46919,Private room,False,False,$60.00,58,2022-08-20,4.79,4.55,4.82,4.95,4.91,4.67,4.72,0.56
111,2496086,2022-09-19,12776533,t,Daly City,37.72787,-122.42126,Entire home/apt,False,False,$180.00,304,2022-09-10,4.93,4.65,4.89,4.96,4.94,4.81,4.88,3.19
112,2562034,2022-09-19,4940456,t,Daly City,37.72263,-122.46759,Entire home/apt,False,False,$165.00,50,2022-09-07,4.92,4.78,4.88,4.98,4.94,4.91,4.88,0.74
113,2566174,2022-09-19,11487122,t,Unincorporated Areas,37.51451,-122.51008,Entire home/apt,False,False,$240.00,266,2022-09-08,4.9,4.97,4.92,4.97,4.94,4.75,4.9,2.58
114,2583020,2022-09-19,10760774,f,East Palo Alto,37.45709,-122.13278,Private room,False,False,$97.00,7,2022-08-27,5.0,4.71,5.0,5.0,5.0,4.71,5.0,0.11
115,2594454,2022-09-19,13231052,t,Redwood City,37.47105,-122.25166,Entire home/apt,False,False,$125.00,117,2022-08-14,4.97,4.87,5.0,4.97,4.98,4.91,4.96,1.16
116,2594715,2022-09-19,9080666,f,Daly City,37.72209,-122.45024,Entire home/apt,False,False,$130.00,4,2021-01-01,4.75,4.0,4.75,4.5,4.5,4.75,4.75,0.04
117,2606217,2022-09-19,13346336,f,Redwood City,37.53803,-122.24244,Private room,True,False,$130.00,11,2022-07-24,5.0,5.0,5.0,5.0,4.82,5.0,5.0,0.11
118,2608990,2022-09-19,10685036,f,Daly City,37.66929,-122.49087,Entire home/apt,False,False,$260.00,236,2022-09-18,4.56,4.52,4.56,4.68,4.57,4.52,4.51,2.29
119,2632537,2022-09-19,7406543,t,Unincorporated Areas,37.44346,-122.14858,Private room,False,False,$110.00,114,2022-08-27,4.88,4.9,4.78,4.85,4.88,4.64,4.74,1.11
120,2667129,2022-09-19,4943390,t,San Carlos,37.50591,-122.28109,Entire home/apt,False,False,$199.00,29,2022-09-05,4.86,4.9,4.86,4.93,4.97,4.76,4.79,0.92
121,2676760,2022-09-19,13680678,f,East Palo Alto,37.43655,-122.11712,Private room,False,False,$60.00,0,,,,,,,,,
122,2682566,2022-09-19,3774728,t,Pacifica,37.64792,-122.47593,Entire home/apt,False,False,$267.00,263,2022-08-21,4.9,4.79,4.73,4.91,4.89,4.72,4.79,5.62
